OSMadre,Orden,costoRepuesto,costoMO,costoTTA,costoTotal,wip
505900481400,505900481403,78.59,0.0,0.0,78.59,33
505900481400,505900481404,0.0,0.0,0.0,0.0,0
505900481400,505900481405,0.0,0.0,0.0,0.0,0
505900481400,505900481406,0.0,0.0,0.0,0.0,0
505900481400,505900481407,0.0,0.0,0.0,0.0,0
505900481500,505900481501,28053.3,4022.15,0.0,32812.89,83
505900481500,505900481502,0.0,0.0,0.0,0.0,0
505900481500,505900481503,188.94,0.0,0.0,188.94,73
505900481500,505900481504,0.0,0.0,0.0,0.0,0
505900481500,505900481505,0.0,0.0,0.0,110.55,6
505900481500,505900481506,0.0,0.0,0.0,0.0,0
505900481500,505900481507,0.0,0.0,0.0,0.0,0
505900481500,505900481508,0.0,0.0,0.0,0.0,0
505900483100,505900483101,27667.59,5438.9,0.0,34487.52,67
505900483100,505900483102,0.0,0.0,0.0,0.0,0
505900483100,505900483103,0.0,0.0,0.0,0.0,0
505900483100,505900483104,0.0,0.0,0.0,0.0,0
505900483100,505900483105,0.0,0.0,0.0,0.0,0
505900483100,505900483106,0.0,0.0,0.0,0.0,0
505900483100,505900483107,0.0,0.0,0.0,0.0,0
505900483100,505900483108,0.0,0.0,0.0,0.0,0
505900485500,505900485501,-1793.53,7817.63,0.0,-1793.53,160
505900485500,505900485502,167051.95,0.0,232.82,179625.6,2
505900485500,505900485503,0.0,0.0,0.0,0.0,0
505900485500,505900485504,0.0,0.0,0.0,0.0,0
505900485500,505900485505,0.0,0.0,0.0,0.0,0
505900485500,505900485506,0.0,0.0,0.0,0.0,0
505900485500,505900485507,0.0,0.0,0.0,0.0,0
505900486500,505900486501,19897.23,5520.34,0.0,25990.76,68
505900486500,505900486502,0.0,0.0,0.0,0.0,0
505900486500,505900486503,0.0,0.0,0.0,0.0,0
505900486500,505900486504,0.0,0.0,0.0,0.0,0
505900486500,505900486505,0.0,0.0,0.0,0.0,0
505900486500,505900486506,0.0,0.0,0.0,0.0,0
